Arquivo,Texto,English
public/index.html (title),Evolut | Agência de IA,Evolut | AI Agency
public/index.html (meta description),"Evolua sua operação com agentes de inteligência artificial sob medida. Mais produtividade, menos custo e decisões melhores.","Evolve your operation with tailor‑made artificial intelligence agents. More productivity, lower costs, and better decisions."
public/index.html,Agentes,Agents
public/index.html,Vantagens,Benefits
public/index.html,Como Funciona,How It Works
public/index.html,Começar Agora,Get Started Now
public/index.html,AGÊNCIA DE IA,AI AGENCY
public/index.html,Deixe nossos agentes de IA trabalharem por você,Let our AI agents work for you
public/index.html,•,•
public/index.html,Agência de IA,AI Agency
public/index.html,Soluções Empresariais,Business Solutions
public/index.html,IA,AI
public/index.html,Faça sua empresa crescer 70% mais rápido. Implemente inteligência artificial em todos os setores do seu negócio,Make your company grow 70% faster. Implement artificial intelligence in every area of your business
public/index.html,Começar agora,Start now
public/index.html,Tenha Agentes de IA na Sua Equipe,Have AI Agents on Your Team
public/index.html,Agentes Evolut IA,Evolut AI Agents
public/index.html,Cada desafio exige uma solução inteligente. Conheça alguns dos agentes já criados pela Evolut IA,Each challenge demands an intelligent solution. Meet some of the agents already created by Evolut AI
public/index.html,Crie Seu Próprio Agente,Create Your Own Agent
public/index.html,Vantagens da Evolut IA,Evolut AI Advantages
public/index.html,"Na Evolut IA, criamos agentes inteligentes para transformar processos e impulsionar os seus resultados","At Evolut AI, we create intelligent agents to transform processes and boost your results"
public/index.html,Implementação Rápida,Fast Implementation
public/index.html,"Seus agentes ficam prontos em até 30 dias, com suporte completo durante todo o processo","Your agents are ready within 30 days, with full support throughout the process"
public/index.html,ROI Garantido,Guaranteed ROI
public/index.html,Reduza custos em até 70% e aumente a produtividade em até 300% com nossas soluções,Cut costs by up to 70% and increase productivity by up to 300% with our solutions
public/index.html,Suporte,Support
public/index.html,Equipe especializada disponível 24 horas por dia para garantir que tudo funcione perfeitamente,Specialized team available 24 hours a day to make sure everything runs perfectly
public/index.html,Qualidade Premium,Premium Quality
public/index.html,"Tecnologia de ponta com os melhores modelos de IA do mercado, sempre atualizados","Cutting‑edge technology with the market’s best AI models, always up to date"
public/index.html,Não fique para trás,Don’t fall behind
public/index.html,"A Evolut IA é ideal para empresas que buscam inovação, eficiência e crescimento sustentável através da inteligência artificial.","Evolut AI is ideal for companies seeking innovation, efficiency, and sustainable growth through artificial intelligence."
public/index.html,Empresas Médias,Mid‑Sized Companies
public/index.html,De 50 a 500 funcionários que precisam escalar operações sem aumentar custos proporcionalmente.,From 50 to 500 employees who need to scale operations without proportionally increasing costs.
public/index.html,Startups em Crescimento,Growing Startups
public/index.html,Empresas inovadoras que querem automatizar desde cedo e crescer de forma inteligente.,Innovative companies that want to automate early and grow smart.
public/index.html,Empresas Tradicionais,Traditional Companies
public/index.html,Negócios estabelecidos que querem se modernizar e manter competitividade no mercado.,Established businesses that want to modernize and stay competitive in the market.
public/index.html,Equipes Remotas,Remote Teams
public/index.html,Times distribuídos que precisam de automação para manter produtividade e coordenação.,Distributed teams that need automation to maintain productivity and coordination.
public/index.html,Redução de Custos,Cost Reduction
public/index.html,Organizações focadas em otimizar custos operacionais e aumentar margem de lucro.,Organizations focused on optimizing operating costs and increasing profit margin.
public/index.html,Orientadas por Dados,Data‑Driven
public/index.html,Empresas que valorizam decisões baseadas em dados e análises preditivas.,Companies that value data‑based decisions and predictive analytics.
public/index.html,Ver Se É Ideal Para Minha Empresa,See If It’s Right for My Company
public/index.html,Integrações,Integrations
